ASV_name	08_2016_F4_1	08_2016_F4_2	09_2016_F4_1	09_2016_F4_2	10_2016_F4	11_2016_F4	12_2016_F4	01_2017_F4	02_2017_F4_1	02_2017_F4_2	03_2017_F4_2	03_2017_F4_3	03_2017_F4_4	04_2017_F4_1	04_2017_F4_2	05_2017_F4_1	05_2017_F4_2	06_2017_F4_1	06_2017_F4_2	07_2017_F4_1	07_2017_F4_2	07_2017_F4_3	07_2017_F4_4	08_2017_F4_1	08_2017_F4_2	09_2017_F4_1	09_2017_F4_2	10_2017_F4	11_2017_F4	12_2017_F4	01_2018_F4	02_2018_F4_1	02_2018_F4_2	03_2018_F4_1	03_2018_F4_3	04_2018_F4_1	04_2018_F4_2	04_2018_F4_3	04_2018_F4_4	05_2018_F4_1	05_2018_F4_2	06_2018_F4_1	06_2018_F4_2	06_2018_F4_3	07_2018_F4_1	07_2018_F4_2	08_2018_F4_1	08_2018_F4_2	09_2018_F4_1	09_2018_F4_2	10_2018_F4_1	10_2018_F4_2	11_2018_F4_1	11_2018_F4_2	12_2018_F4_1	12_2018_F4_2	01_2019_F4_1	01_2019_F4_2	02_2019_F4	03_2019_F4_1	03_2019_F4_2	04_2019_F4_1	04_2019_F4_2	05_2019_F4_1	05_2019_F4_2	06_2019_F4_1	06_2019_F4_2	07_2019_F4_1	07_2019_F4_2	07_2019_F4_3	07_2019_F4_4	08_2019_F4_1	08_2019_F4_2	09_2019_F4_1	10_2019_F4_1	10_2019_F4_2	11_2019_F4_1	11_2019_F4_2	12_2019_F4_1	12_2019_F4_2	01_2020_F4_1	01_2020_F4_2	02_2020_F4_1	02_2020_F4_2	03_2020_F4_1	03_2020_F4_2	04_2020_F4_1	04_2020_F4_2	05_2020_F4_1	05_2020_F4_2	06_2020_F4_1	06_2020_F4_2	07_2020_F4_1	07_2020_F4_2	08_2020_F4	09_2020_F4_1	09_2020_F4_2
euk_asv2	216	202	228	171	586	2068	2718	4343	1525	2392	2090	6960	3484	1011	547	94	313	473	490	98	97	114	110	3865	8567	4215	16950	3538	5358	3958	4584	11574	15	4089	9153	6478	7582	4952	3748	4390	3892	1513	638	681	360	736	5929	4388	8033	4686	4479	2944	8525	1681	9176	6885	2758	20994	2552	5431	3540	8059	5364	3403	2262	2507	2879	1339	3107	2990	12379	1640	3161	6100	13259	16428	30742	8103	23194	22879	11603	26216	13765	17554	14316	2734	481	358	7767	2106	14322	2075	2784	10933	8063	17992	9235
euk_asv3	24	43	64	9	107	1187	1119	1929	1012	296	476	2772	377	297	101	77	170	449	175	196	155	470	84	211	1688	313	5157	79744	48370	14198	11087	18160	23	2192	7774	3330	1822	2081	308	3845	1276	407	359	1053	2857	1489	17634	3174	12448	26196	15430	19367	42696	4877	16248	39	8531	546	2238	2261	2145	6788	120	510	1289	4199	4986	2697	6042	3845	6093	1484	419	3641	3841	16013	40935	16491	27969	19785	6518	20455	8747	8720	6463	657	102	51	903	446	3840	766	1495	13937	4500	4515	1382
euk_asv4	4872	1321	408	139	100	202	365	172	13	252	119	163	117	241	36023	16800	5029	1356	7342	789	2343	2658	434	265	4364	1008	1118	30	432	164	224	27	2	84	472	712	4043	12376	436	4611	1208	1861	2269	12958	4868	23138	979	746	1439	2259	1926	3183	3231	1233	668	22	30	7	17	176	4	1653	35354	40502	46787	1053	3046	1754	9554	2016	930	9628	7113	447	162	474	1777	986	760	2382	223	1526	34	160	1	247	22545	49533	52096	1066	533	369	657	4546	866	106	347
euk_asv5	2	8	18	3	120	49	8213	19694	19323	25655	16113	32370	13627	6095	4194	49	14	22	9	18	6	4	4	1	155	5	212	360	652	3094	7517	17991	6	6862	13693	6296	9873	2829	39	0	4	0	1	1	1	0	3	1	0	451	2	228	137	2	2706	4	15	5256	2600	8281	8906	10872	1649	342	2	43	5	15	8	182	2	2	0	5	7	447	1159	2030	11637	12946	11658	38350	41081	19847	23856	3860	544	42	102	2	1	0	2	2	1	0	1
euk_asv7	0	0	9	0	0	0	0	1	0	0	1	2384	295	193	789	22	0	0	9	0	0	14	0	0	0	0	0	0	0	0	120	0	0	116	0	4605	210	2173	1368	23	13	0	0	0	0	0	7	1	0	1	2	8	5	0	5	4	0	1	2	7	7	4	834	1260	6	2	7	13	8	1	2	3	0	0	1	34	2931	7709	9	0	61	17	1216	66887	38071	52792	9746	2163	1072	123	1647	3512	8	27	8	2	0
euk_asv8	0	0	0	0	7	258	34	0	246	1376	0	168	10	0	0	4	5069	2654	346	17	47	501	746	340	11575	13858	6293	4051	5298	31298	8682	24327	13	9283	3615	1054	15210	1330	397	1088	3507	576	1498	1432	73	63	34	0	0	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	880	69	303	1600	668	1082	0	4	0	2	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	381	2	0	0	0	0	0
euk_asv9	670	219	16789	18704	14156	5818	1712	47	0	0	0	1	0	0	385	1	4	4	5	7	5	83	75	16675	57721	5561	22510	372	52	154	6	9	2	37	360	2	12	21	2	3	127	1	1	3	111	157	5267	21200	9311	2672	1944	501	4	4526	0	0	4	1	11	5	16	4	2	5	4	2	10	19	8	6	18	19	15	706	2369	2489	493	82	0	0	3	0	0	2	1	0	29	0	2	0	79	104	638	5	53	2983	21163
euk_asv12	354	9836	6630	1964	953	290	53	4	0	1	55	1	2	4	445	72	256	587	539	999	828	1251	1407	2004	2206	1157	4149	164	98	205	1	94	1	168	0	195	64	143	53	119	198	626	1640	605	753	272	2130	212	14373	3791	272	378	2	1	26	3	4	5	3	332	1	1	23	220	1374	4061	1949	34415	545	1291	52853	2225	430	44837	12813	2395	466	12	12	1	11	1	2	0	1	0	25	19	206	1527	6051	1292	3652	260	29809	2475	2444
euk_asv13	74	6	132	0	965	147	26	4	1	9	3	12	8	9	4181	82	10	36	33	1362	435	305	245	325	1115	4108	2714	149	5	3	6	518	3	7	1	1885	30	10	6	11	1774	1247	6927	11865	3715	47	14707	1173	26	1351	148	4	6	14	6	5	0	0	10	9	5	10	5	608	3	223	4824	12	6017	15497	4	509	3	82	954	63	100	48	84	1716	139	0	1	1	267	294	70	6	223	1	20	0	38	17	6	320	77
euk_asv15	551	117	456	677	338	0	0	0	0	0	21	366	4	238	185	483	520	582	4947	3056	316	1593	4004	730	6626	3192	1024	83	313	12	310	61	0	7051	224	10	1166	281	92	43875	15581	11372	23477	17225	13982	139	16706	676	373	123	560	5	100	1	145	9	16	10	11	14	4	5	4561	5896	1708	4276	8917	619	3189	307	1542	1370	49	886	5135	1246	214	69	0	2581	140	700	759	269	496	462	422	395	247	9808	8050	6571	1765	217	398	614	786
