ASV_name	Kingdom	Phylum	Class	Order	Family	Genus	Species
euk_asv2	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv3	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv4	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_pouchetii
euk_asv5	Eukaryota	Radiolaria	RAD-C	RAD-C uc	RAD-C uc	RAD-C uc	RAD-C uc_sp.
euk_asv7	Eukaryota	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Polarella	Polarella_glacialis
euk_asv8	Eukaryota	Ciliophora	Phyllopharyngea	Suctoria	Ephelotidae	Ephelota	Ephelota_mammillata
euk_asv9	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Pseudo-nitzschia	Pseudo-nitzschia_sp.
euk_asv12	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Fragilariopsis	Fragilariopsis uc
euk_asv13	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
euk_asv15	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_fusiforme
euk_asv16	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Fragilariopsis	Fragilariopsis_cylindrus
euk_asv17	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_neogracilis
euk_asv18	Eukaryota	Ciliophora	Phyllopharyngea	Suctoria	Ephelotidae	Ephelota	Ephelota_mammillata
euk_asv19	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Thalassiosira	Thalassiosira uc
euk_asv20	Eukaryota	Radiolaria	Acantharea	Chaunacanthida	Chaunacanthida uc	Chaunacanthida uc	Chaunacanthida uc_sp.
euk_asv21	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-10-and-11	Dino-II-10-and-11 uc	Dino-II-10-and-11 uc_sp.
euk_asv22	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv23	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv24	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Pseudo-nitzschia	Pseudo-nitzschia_sp.
euk_asv25	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_helveticum
euk_asv26	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv27	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Peridiniales uc	Peridiniales uc	Peridiniales uc
euk_asv28	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Thalassiosira	Thalassiosira uc
euk_asv29	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_M	Strombidiidae_M uc	Strombidiidae_M uc_sp.
euk_asv30	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_socialis
euk_asv31	Eukaryota	Radiolaria	RAD-C	RAD-C uc	RAD-C uc	RAD-C uc	RAD-C uc_sp.
euk_asv32	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae_B	Leegaardiella	Leegaardiella_sp.
euk_asv33	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Araphid-pennate	Grammonema	Grammonema_striatula
euk_asv34	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-4	Dino-I-4 uc	Dino-I-4 uc_sp.
euk_asv35	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Fragilariopsis	Fragilariopsis_sublineata
euk_asv36	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula_pacifica
euk_asv37	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Chytriodiniaceae	Chytriodinium	Chytriodinium_roseum
euk_asv39	Eukaryota	Cercozoa	Filosa-Imbricatea	Filosa-Imbricatea uc	Novel-clade-2	Novel-clade-2 uc	Novel-clade-2 uc_sp.
euk_asv40	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_debilis_1
euk_asv41	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Peridiniales uc	Peridiniales uc	Peridiniales uc
euk_asv42	Eukaryota	Radiolaria	RAD-C	RAD-C uc	RAD-C uc	RAD-C uc	RAD-C uc_sp.
euk_asv43	Eukaryota	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Noelaerhabdaceae uc	Noelaerhabdaceae uc
euk_asv44	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-23	Dino-II-23 uc	Dino-II-23 uc_sp.
euk_asv45	Eukaryota	Pseudofungi	MAST-1	MAST-1A	MAST-1A uc	MAST-1A uc	MAST-1A uc_sp.
euk_asv47	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Eucampia	Eucampia_sp.
euk_asv48	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_M	Strombidium_M	Strombidium_M uc
euk_asv49	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv51	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Coscinodiscophyceae	Rhizosolenia	Rhizosolenia_imbricata_var_shrubsolei
euk_asv52	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Peridiniales uc	Peridiniales uc	Peridiniales uc
euk_asv53	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-4	Dino-I-4 uc	Dino-I-4 uc_sp.
euk_asv54	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_fusiforme
euk_asv55	Eukaryota	Pseudofungi	MAST-1	MAST-1C	MAST-1C uc	MAST-1C uc	MAST-1C uc_sp.
euk_asv57	Eukaryota	Pseudofungi	Pirsonia_Clade	PirsoniaX	PirsoniaXX	Pirsonia uc	Pirsonia uc_sp.
euk_asv58	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Naviculales	Naviculales_sp.
euk_asv59	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv60	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Tovelliaceae	Woloszynskia	Woloszynskia_sp.
euk_asv61	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Thalassiosira	Thalassiosira_sp.
euk_asv62	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_danicus
euk_asv63	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Raphid-pennate uc	Raphid-pennate uc
euk_asv64	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv65	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae uc	Chrysophyceae C	Spumella	Spumella_elongata
euk_asv66	Eukaryota	Pseudofungi	MAST-1	MAST-1A	MAST-1A uc	MAST-1A uc	MAST-1A uc_sp.
euk_asv67	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_G	Strombidiidae_G uc	Strombidiidae_G uc_sp.
euk_asv68	Eukaryota	Ciliophora	Spirotrichea	Spirotrichea uc	Spirotrichea uc	Spirotrichea uc	Spirotrichea uc
euk_asv69	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Naviculales	Naviculales_sp.
euk_asv70	Eukaryota	Ciliophora	Phyllopharyngea	Suctoria	Ephelotidae	Ephelota	Ephelota uc
euk_asv71	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Tovelliaceae	Woloszynskia	Woloszynskia_halophila
euk_asv72	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-7	Dino-II-7 uc	Dino-II-7 uc_sp.
euk_asv73	Eukaryota	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales uc	Plagioselmis	Plagioselmis_prolonga
euk_asv74	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_spirale
euk_asv75	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv76	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_helveticum
euk_asv77	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium uc
euk_asv78	Eukaryota	Pseudofungi	MAST-1	MAST-1C	MAST-1C uc	MAST-1C uc	MAST-1C uc_sp.
euk_asv79	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae uc	Chrysophyceae H	Chrysophyceae H uc	Chrysophyceae H uc_sp.
euk_asv80	Eukaryota	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc
euk_asv81	Eukaryota	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae H	Stephanoecidae H uc	Stephanoecidae H uc_sp.
euk_asv82	Eukaryota	Sagenista	Labyrinthulomycetes	Labyrinthulales	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.
euk_asv83	Eukaryota	Cercozoa	Filosa-Thecofilosea	Ebriida	TAGIRI1-lineage	TAGIRI1-lineage uc	TAGIRI1-lineage uc_sp.
