RAS_id	RAS_sample_names	MG_sample_names	date	SSU_16S	SSU_18S	MetaG	lat	daylight	depth	temp	sal	sig	O2_conc	O2_sat	Chl_a	CO2	pH	PAR_satellite	MLD	AW_frac	PW_frac	NO3_NO2	PO4	NO2	SiO4	iceConc	iceDist	icePast	iceDistPast	sample_title	mooring_full	year	month	lon
01_2017_F4	FRAM_RAS_F4_01_1617	FRAM_RAS_F4_01_1617	01.01.2017	16S	18S		79.01	0	66.64	4.9	35.11	27.77	302.35	95.52	NA	371	8.09	0	104.01	0.99	0.01	12.11	0.76	0	4.26	0	84.21	0	78.42	RAS_F4_01_1617	F4-S-1	2016-17	Jan	6.96
01_2018_F4	FRAM_RAS_F4_01_1718	FRAM_RAS_F4_01_1718	27.01.2018	16S	18S	MG	79.01	0	87.49	3.97	35.07	27.85	310.15	95.81	0	376.08	8.07	0	324.46	0.96	0.04	NA	NA	NA	NA	0	74.7	0	77.15	RAS_F4_01_1718	F4-S-2	2017-18	Jan	6.96
01_2019_F4_1	FRAM_RAS_F4_01_1819_1	FRAM_RAS_F4_01_1819_1	12.01.2019	16S	18S		79	0	47.44	4.22	34.98	27.75	297.93	92.53	0.15	505.3	8.07	0	279.32	0.86	0.14	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_01_1819_1	F4-S-3	2018-19	Jan	7
01_2019_F4_2	FRAM_RAS_F4_01_1819_2	FRAM_RAS_F4_01_1819_2	28.01.2019	16S	18S		79	0	37.17	3.56	35	27.83	302.55	92.5	0.15	503.4	8.07	0	265.44	0.89	0.11	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_01_1819_2	F4-S-3	2018-19	Jan	7
01_2020_F4_1	FRAM_RAS_F4_01_1920_1	FRAM_RAS_F4_01_1920_1	05.01.2020	16S	18S	MG	79.02	0	32.97	2.66	34.88	27.82	308.58	92.2	0.35	454.83	0	0	272.8	0.76	0.24	NA	NA	NA	NA	0	67.77	0	71.55	RAS_F4_01_1920_1	F4-S-4	2019-20	Jan	6.97
01_2020_F4_2	FRAM_RAS_F4_01_1920_2	FRAM_RAS_F4_01_1920_2	21.01.2020	16S	18S		79.02	0	33.39	3.33	34.94	27.8	303.24	92.15	0.33	464.92	0	0	163.28	0.82	0.18	NA	NA	NA	NA	0	55.91	0	56.79	RAS_F4_01_1920_2	F4-S-4	2019-20	Jan	6.97
02_2017_F4_1	FRAM_RAS_F4_02_1617_1	FRAM_RAS_F4_02_1617_1	01.02.2017	16S	18S		79.01	0	61.59	4.67	35.09	27.78	303.88	95.48	NA	369.5	8.09	0	290.1	0.97	0.03	11.73	0.74	0	4.2	0	75.42	0.06	75.23	RAS_F4_02_1617_1	F4-S-1	2016-17	Feb	6.96
02_2017_F4_2	FRAM_RAS_F4_02_1617_2	FRAM_RAS_F4_02_1617_2	14.02.2017	16S	18S		79.01	0	29.08	4.55	35.1	27.8	307.14	96.24	NA	370.28	8.09	0	250.04	0.99	0.01	12.39	0.78	-0.01	4.4	0	71.5	0	72.08	RAS_F4_02_1617_2	F4-S-1	2016-17	Feb	6.96
02_2018_F4_1	FRAM_RAS_F4_02_1718_1	FRAM_RAS_F4_02_1718_1	11.02.2018	16S	18S		79.01	0	98.45	3.82	35.07	27.86	311.2	95.79	0	375.6	8.07	0	290.86	0.97	0.03	NA	NA	NA	NA	0	75.42	0	75.25	RAS_F4_02_1718_1	F4-S-2	2017-18	Feb	6.96
02_2018_F4_2	FRAM_RAS_F4_02_1718_2	FRAM_RAS_F4_02_1718_2	26.02.2018	16S	18S	MG	79.01	4.24	25.76	3.17	35.06	27.91	322.73	97.79	0	377.15	8.07	0	251.54	0.97	0.03	NA	NA	NA	NA	0	79.95	0	76.17	RAS_F4_02_1718_2	F4-S-2	2017-18	Feb	6.96
